finding_id,priority,domain,object_or_scope,live_verification_result,existence_status,rls_status,policy_or_privilege_status,migration_provenance,readiness_status,risk_statement,decision,db1c_action,db1c_order,evidence_source,verification_status
DB1B-F01,P0,account,profiles,"Table exists; RLS enabled; birthday, birth_date_locked, birthday_change_count, birthday_last_changed_at, and metadata observed",exists,enabled,Own direct UPDATE policies exist; exact expressions/grants not fully captured in supplied summary,clear table/column migration provenance; live apply-state not proven,conditional,"Direct authenticated update may bypass UX4 birthday lock, counter, timestamp, consent, or protected metadata rules",Keep UX4 operational readiness conditional until DB-level write boundary is hardened,"Inventory writers and protected columns; choose server-only writes, validated RPC, column privileges, or table separation",P0-3,operator-supplied manual read-only SQL Editor results,live observed; remediation pending
DB1B-F02,P0,preferences,notification_preferences,"Table exists; RLS enabled; campaign, newsletter, stock, SMS, order, and cargo-related fields observed",exists,enabled,"Full policy expressions, grants, unique user constraint, and FK not included in supplied summary",clear migration provenance; live apply-state not proven,schema ready,"Field presence supports UX4, but complete own-row and one-row-per-user contract remains to be evidenced",Accept schema presence; retain residual policy/constraint verification,"Capture columns, unique/FK, policies, grants; run anon/user A/user B tests in approved DB1C verification",P0-3 then P1 validation,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F03,P0,favorites,user_favorites,"Table exists; RLS enabled; unique(user_id, product_slug); own SELECT, INSERT, DELETE, and UPDATE policies observed",exists,enabled,Own CRUD policy set verified; exact expressions and table grants should be preserved in baseline,out-of-band in DB1 repository; live apply-state not proven,ready for E1,"Current production feature is ready, but a fresh environment cannot reproduce the table from proven migration history",Accept E1 live DB contract; remediate provenance without recreating live data,"Capture exact table, FK, defaults, indexes, policies, grants, and include in approved canonical baseline",P0-1,operator-supplied manual read-only SQL Editor results,live verified
DB1B-F04,P0,orders,orders,Table exists and RLS enabled,exists,enabled,Exact own/admin policies and grants not included in supplied summary,partial/historical migration provenance; live apply-state not proven,exists; controls incomplete,"Ownership, guest-order visibility, totals, and status invariants are not proven by the RLS flag",Do not change live order logic; verify before constraint or policy design,Capture policies/grants/FKs/checks/indexes and paid/coupon snapshot contract,P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F05,P0,orders,order_items,Table exists and RLS enabled,exists,enabled,Order-derived ownership and direct grants not included in supplied summary,later migration provenance; live apply-state not proven,exists; controls incomplete,"Orphan prevention, user visibility through orders, paid-price snapshots, and arithmetic checks remain unproven",Preserve current behavior; verify exact live contract,"Capture FKs, order/user indexes, D3 snapshot columns/checks, policies, and grants",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F06,P0,payments,payments,Table exists and RLS enabled,exists,enabled,Customer read/admin write model and provider-field exposure not included in supplied summary,later migration provenance; live apply-state not proven,exists; controls incomplete,"Raw provider data, FK, non-negative amount, status, and idempotency boundaries remain unproven",Treat writes as server-only unless an explicit direct-client contract exists,Capture policies/grants/FKs/checks/unique references and safe customer projection,P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F07,P0,inventory,product_inventory,Table exists and RLS enabled,exists,enabled,Admin-only mutation model and exact grants not included in supplied summary,clear migration provenance; live apply-state not proven,exists; controls incomplete,Non-negative/reserved/backorder rules and unique product_slug require exact live proof,Keep stock writes server/admin-only and verify invariants,"Capture unique/check constraints, available-stock behavior, indexes, policies, and grants",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F08,P0,pricing,product_price_overrides,"Table exists; RLS enabled; regular, sale, compare-at, and sale-window fields observed",exists,enabled,Admin-only mutation/grants and exact policy expressions not included in supplied summary,clear P1C/P1E migration provenance; live apply-state not proven,P1E schema ready,"Field presence does not prove price-window checks, non-negative checks, slug uniqueness/indexes, or least-privilege writes",Accept current P1E live field contract; verify safeguards in DB1C,Capture exact columns/checks/indexes/policies/grants and adversarial write results,P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live verified for fields; safeguards incomplete
DB1B-F09,P1,pricing audit,product_price_audit_logs,Sale and compare-at audit fields observed live,exists,not stated,"Exact grants, insert path, immutability, actor fields, and indexes not included in supplied summary",clear P1C/P1E migration provenance; live apply-state not proven,P1E audit fields ready,Audit rows could be incomplete or mutable unless exact live controls match intent,Accept field presence only; do not claim complete audit integrity,"Capture table definition, grants/policies, actor/time fields, old/new fields, and product_slug index",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live verified for fields; safeguards incomplete
DB1B-F10,P0,coupons,coupons,Table exists and RLS enabled,exists,enabled,"Exact public/admin policies, grants, and code uniqueness not included in supplied summary",clear migration provenance; live apply-state not proven,exists; controls incomplete,Coupon code duplication or overly broad mutation could affect checkout parity,Keep mutation admin/server-only; verify canonical uppercase/code uniqueness and validity checks,"Capture unique/check constraints, indexes, policies, grants, and code normalization",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F11,P0,coupon usage,coupon_redemptions,Table exists and RLS enabled,exists,enabled,"Exact own/server policy, grants, order/coupon/user constraints not included in supplied summary",clear migration provenance; live apply-state not proven,exists; controls incomplete,Duplicate or inconsistent reservation/redemption state could affect usage limits and refunds,Preserve checkout/cancellation logic; verify exact live invariant set,"Capture FKs, uniqueness/idempotency, status checks, indexes, policies, and grants",P1-3 after P0 baseline,operator-supplied manual read-only SQL Editor results,live observed; control evidence incomplete
DB1B-F12,P0,migration governance,supabase_migrations.schema_migrations,"Only 20260418 guest_checkout and 20260510 newsletter_subscribers reported, while many additional objects exist live",exists,not applicable,not applicable,apply-state materially incomplete relative to live schema,not ready,"Empty-database bootstrap, recovery, drift review, and future migration assumptions are unreliable",Make baseline/apply-state strategy the first DB1C decision; do not replay or backfill ledger blindly,Capture complete live schema and ledger; reconcile object-by-object; prove isolated clean build,P0-1,operator-supplied manual read-only SQL Editor results,live verified; highest risk
DB1B-F13,P0,function security,recalculate_customer_membership,SECURITY DEFINER; executable by anon and authenticated,exists,not applicable,"Broad EXECUTE observed; body, identity checks, owner, search_path, and overloads not included in summary",migration exists but privilege hardening not proven,unsafe until reviewed,Caller may invoke owner-privileged membership recalculation or cross-user effects depending on body,Remove broad execute unless an identity-safe user RPC is explicitly required,Capture exact signature/body/dependencies; revoke PUBLIC/anon/authenticated as appropriate; regression test,P0-2,operator-supplied manual read-only SQL Editor results,exposure verified; exploitability not asserted
DB1B-F14,P0,function security,recalculate_loyalty_account,SECURITY DEFINER; executable by anon and authenticated,exists,not applicable,Broad EXECUTE observed; body and identity safety unverified,live provenance/apply-state unclear,unsafe until reviewed,Caller may trigger privileged loyalty balance mutation or cross-user recalculation,Restrict to trigger/internal/service role unless a safe user RPC contract is proven,"Inventory and harden exact signatures, grants, search_path, and identity checks",P0-2,operator-supplied manual read-only SQL Editor results,exposure verified; exploitability not asserted
DB1B-F15,P0,function security,recalculate_routine_streak,SECURITY DEFINER; executable by anon and authenticated,exists,not applicable,Broad EXECUTE observed; body and identity safety unverified,live provenance/apply-state unclear,unsafe until reviewed,Caller may cause privileged routine state changes outside intended ownership,Restrict to trigger/internal/service role unless safe direct RPC need is proven,Inventory definition/dependencies; harden grants/search_path; run cross-user tests,P0-2,operator-supplied manual read-only SQL Editor results,exposure verified; exploitability not asserted
DB1B-F16,P0,function security,cosmoskin_activity_order_insert,SECURITY DEFINER; executable by anon and authenticated,exists,not applicable,Broad EXECUTE observed; trigger/internal purpose and callable signature unverified,live provenance/apply-state unclear,unsafe until reviewed,Order activity helper may be directly callable with elevated privileges,"If trigger-only, revoke all API role execute; preserve trigger operation",Capture function and triggers; harden grants/search_path; test order insertion path,P0-2,operator-supplied manual read-only SQL Editor results,exposure verified; exploitability not asserted
DB1B-F17,P0,function security,cosmoskin_activity_order_update,SECURITY DEFINER; executable by anon and authenticated,exists,not applicable,Broad EXECUTE observed; trigger/internal purpose and callable signature unverified,live provenance/apply-state unclear,unsafe until reviewed,Order activity helper may be directly callable with elevated privileges,"If trigger-only, revoke all API role execute; preserve trigger operation",Capture function and triggers; harden grants/search_path; test order update path,P0-2,operator-supplied manual read-only SQL Editor results,exposure verified; exploitability not asserted
DB1B-F18,P0,function security,loyalty_ledger_recalculate_trigger,SECURITY DEFINER; executable by anon and authenticated,exists,not applicable,Broad EXECUTE observed despite trigger-oriented name,clear loyalty migration provenance; live apply-state not proven,unsafe until reviewed,A trigger helper exposed as RPC may enable unintended privileged ledger recalculation,Revoke API-role execution if trigger-only; ensure trigger continues under normal privileges,Capture dependencies and exact signature; harden EXECUTE/search_path; regression test ledger,P0-2,operator-supplied manual read-only SQL Editor results,exposure verified; exploitability not asserted
DB1B-F19,P0,function security,routine_completion_recalculate_trigger,SECURITY DEFINER; executable by anon and authenticated,exists,not applicable,Broad EXECUTE observed despite trigger-oriented name,live provenance/apply-state unclear,unsafe until reviewed,A trigger helper exposed as RPC may enable unintended privileged routine changes,Revoke API-role execution if trigger-only; preserve trigger dependency,Capture dependencies and exact signature; harden EXECUTE/search_path; regression test routines,P0-2,operator-supplied manual read-only SQL Editor results,exposure verified; exploitability not asserted
DB1B-F20,P1,support,support_requests,Table exists live,exists,not stated,Policies/grants not stated,no clear canonical migration provenance,live feature present; rebuild unsafe,A fresh environment may omit support data contract or apply incorrect PII policies,Capture live contract before authoring a reconciled canonical migration,Inventory columns/FKs/indexes/checks/policies/grants/data anomalies; test own create/list,P1-1,operator-supplied manual read-only SQL Editor results,live observed; provenance unclear
DB1B-F21,P1,shipments,shipments,Table exists live,exists,not stated,Policies/grants not stated,later ALTER migrations exist; no clear base CREATE provenance,live feature present; rebuild unsafe,Bootstrap may omit base table; event/provider/FK drift could break tracking,Reconcile exact base and event model before migration authoring,"Capture live base, order FK, statuses, provider idempotency, policies/grants, event tables",P1-1,operator-supplied manual read-only SQL Editor results,live observed; provenance partial
DB1B-F22,P1,reviews,reviews,Table exists live,exists,not stated,Moderation policies/grants not stated,root/manual base provenance; later migration patch only,live feature present; rebuild unsafe,Pending review content or moderation fields may drift across environments,"Reconcile live base, status/approval workflow, own/admin access, and triggers",Capture exact schema/data quality; author canonical provenance after P0 baseline,P1-1,operator-supplied manual read-only SQL Editor results,live observed; provenance manual
DB1B-F23,P1,reviews,review_images,Table exists live,exists,not stated,Own upload/admin moderation/storage policies not stated,root/manual base provenance,live feature present; rebuild unsafe,Image row and storage ownership/moderation may diverge or be absent on rebuild,Reconcile table and review-images bucket/path policy together,Capture fields/FKs/indexes/status/policies/grants/bucket/storage policies,P1-1,operator-supplied manual read-only SQL Editor results,live observed; provenance manual
DB1B-F24,P1,reviews,review_helpful,Table exists live,exists,not stated,Own insert/delete and uniqueness not stated,root/manual base provenance,live feature present; rebuild unsafe,Duplicate helpful votes or cross-user deletes may be possible if policies drift,"Reconcile uniqueness, owner policies, and grants",Capture exact table/constraints/policies/grants and A/B-user tests,P1-1,operator-supplied manual read-only SQL Editor results,live observed; provenance manual
DB1B-F25,P1,notifications,notifications,Appears in live policies/grants but was outside DB1 expected-table verification pack,exists or referenced live,not conclusively stated,Some policies/grants appear live; full contract not inventoried,root/manual or unclear provenance,unclassified,User content exposure and new-environment omission cannot be assessed from current pack,Add to canonical inventory before any notification remediation,"Capture table definition, writers, policies, grants, indexes, retention, and exact provenance",P1-1,operator-supplied manual read-only SQL Editor results,live signal; full verification required
DB1B-F26,P1,CRM,CRM delivery outbox or crm_sync_logs,Reported missing,missing,not applicable,not applicable,no migration provenance,not needed for current DB1; needed for approved E3 automation,"Without a delivery ledger, provider retries, idempotency, and dead-letter audit are weak","Do not add until E3 event, retention, privacy, and provider contracts are approved","Design transactional outbox/sync log with idempotency, attempts, retry, response, and dead-letter state",P1-2,operator-supplied manual read-only SQL Editor results,missing; deferred to E3
DB1B-F27,P1,CRM/privacy,email_unsubscribe_tokens,Reported missing,missing,not applicable,not applicable,no migration provenance,not needed unless tokenized unsubscribe flow is approved,"Token links would lack scoped expiry, replay protection, hashing, and audit contract",Do not add speculative token table; design with preference-center scope,"Design hashed, purpose-bound, expiring, single-use tokens linked to consent events",P1-2,operator-supplied manual read-only SQL Editor results,missing; deferred to E3
DB1B-F28,P0,naming drift,customer_addresses vs addresses/user_addresses,customer_addresses missing; addresses and user_addresses exist,logical name missing; alternatives exist,not stated,not stated,alternative object provenance varies; apply-state not proven,mapping required,Adding another address table could create split-brain customer data,Confirm runtime canonical table and legacy object status; do not create alias table yet,"Crosswalk code references, rows, FKs, policies, grants, and writers",P0-4,operator-supplied manual read-only SQL Editor results,live naming drift verified
DB1B-F29,P0,naming drift,customer_memberships vs membership/loyalty objects,"customer_memberships missing; customer_membership_status, customer_membership_history, and loyalty_accounts exist",logical name missing; alternatives exist,not stated,Privileged recalculation exposure separately identified,membership migrations exist; live apply-state not proven,mapping required,"Wrong source-of-truth choice can corrupt tier, spend, order count, history, or points","Map current state, history, balance, RPCs, and tier vocabulary before DDL","Confirm Essential/Signature/Elite, lifetime spend, qualifying count, ledger, events, RPC/cron writers",P0-4,operator-supplied manual read-only SQL Editor results,live naming drift verified
DB1B-F30,P0,naming drift,invoices vs invoice_records,invoices missing; invoice_records exists,logical name missing; alternative exists,not stated,not stated,invoice_records migration provenance exists; live apply-state not proven,mapping required,Adding invoices alias/table could split invoice state and identifiers,Confirm invoice_records is canonical across checkout/account/admin and FKs,"Crosswalk all readers/writers, order FK, uniqueness, statuses, policies, and grants",P0-4,operator-supplied manual read-only SQL Editor results,live naming drift verified
DB1B-F31,P0,naming drift,refunds vs refund_records,refunds missing; refund_records exists,logical name missing; alternative exists,not stated,not stated,refund_records migration provenance exists; live apply-state not proven,mapping required,Wrong mapping could lose paid-snapshot source or permit inconsistent/duplicate refunds,Confirm refund_records canonical contract and line-item linkage; do not add refunds table,"Crosswalk paid snapshots, payment/order FKs, idempotency, amount boundaries, and policies",P0-4,operator-supplied manual read-only SQL Editor results,live naming drift verified
DB1B-F32,P0,naming drift,returns vs return_requests/return_items,returns missing; return_requests and return_items exist,logical name missing; alternatives exist,not stated,not stated,return migrations exist; exact live naming/application mapping unresolved,mapping required,Header/line table drift can break return and refund item relationships,"Confirm request/header and line-item canonical names, including any return_request_items usage","Crosswalk code, FKs, policies, attachments/status events, and refund linkage",P0-4,operator-supplied manual read-only SQL Editor results,live naming drift verified
DB1B-F33,P1,commerce integrity,"foreign keys, numeric checks, snapshots, and indexes",Not fully determined by supplied live results,unverified,not applicable,not applicable,repository provenance inconsistent; live apply-state not proven,verification required,"Orphans, negative/inconsistent values, over-refunds, duplicate callbacks, or slow policy joins may remain possible",Do not assume absence; perform read-only preflight before drafting constraints,Verify FKs/checks/unique/indexes and data violations; phase safe constraints only after P0 baseline,P1-3,DB1 audit plus operator-supplied DB1B summary,not live verified
DB1B-F34,P1,RLS/security,P0 table policy and grant completeness,RLS enabled on ten tables; full policies/grants supplied only for favorites,exists,enabled on ten-table set,Complete authorization evidence absent for nine tables,live apply-state not proven,verification required,"RLS enabled may mask missing grants, broad grants, broad write checks, or feature denial",Capture table/column grants and policy expressions together; run four-role tests,Verify anon/user A/user B/service access for every command and protected column,P0/P1 security validation,operator-supplied manual read-only SQL Editor results,partial live verification
