sequence,version_prefix,path,primary_class_code,primary_class,secondary_flags,empty_database_evidence,existing_production_evidence,legacy_treatment,security_or_data_boundary,risk_level
1,20260418,supabase/migrations/20260418_guest_checkout.sql,C,Historical/manual dependency,ALTER-before-CREATE,Unconditional ALTER fails immediately,Unsafe if orders shape differs,freeze; production-history sentinel; exclude bootstrap,none,P0
2,20260510,supabase/migrations/20260510_newsletter_subscribers.sql,A,Bootstrap-safe,version collision; trigger replacement,Creates its own extension/table/indexes/function,Live ledger row exists but does not prove body checksum,freeze; production-history sentinel; baseline absorbs final state,table/trigger; RLS/grants incomplete,P1
3,20260510,supabase/migrations/20260510_operations_inventory_orders_shipments.sql,C,Historical/manual dependency,auth.users; manual orders/shipments,Fails when ALTER reaches missing orders/shipments,Unsafe without exact live bases,freeze; baseline absorbs final state,user/order data boundaries,P0
4,20260510,supabase/migrations/20260510_phase1_operational_safety.sql,C,Historical/manual dependency,constraint/data-state sensitive,Fails through absent orders/shipments/FKs,Unsafe without preflight,freeze; baseline absorbs final state,operational PII/events,P0
5,20260511,supabase/migrations/20260511_phase2_invoice_returns_refunds.sql,C,Historical/manual dependency,constraint/data-state sensitive,Fails on absent order/shipment base,Unsafe without preflight,freeze; baseline absorbs final state,customer finance/returns,P0
6,20260511,supabase/migrations/20260511_phase3_compliance_crm_security.sql,A,Bootstrap-safe,RLS/grants incomplete; version collision,Creates independent tables/indexes,Would add duplicate live structures if misapplied,freeze; baseline absorbs final state,PII/admin tables need explicit boundary,P1
7,20260517,supabase/migrations/20260517_checkout_bank_transfer_statuses.sql,C,Historical/manual dependency,destructive constraint replacement,Fails on absent orders/payments,Vocabulary-sensitive,freeze; baseline absorbs final state,payment/order status integrity,P0
8,20260616,supabase/migrations/20260616_atomic_inventory_reservation.sql,F,Security-critical,also bootstrap-order dependent,Function can compile only against expected table contract,Privileged RPC exposure depends on grants,freeze; final definition captured from live,SECURITY DEFINER,P0
9,20260616,supabase/migrations/20260616_inventory_reservation_hardening.sql,F,Security-critical,also historical dependency and drift-sensitive,Cannot replay before orders base,Privileged inventory mutation; requires live preflight,freeze; superseded definitions resolved into baseline,SECURITY DEFINER plus grants/revokes,P0
10,20260616,supabase/migrations/20260616_payment_bank_and_callback_hardening.sql,F,Security-critical,partial live application documented later,Cannot replay before orders/payments,Known partial production execution makes replay unsafe,freeze; final live functions captured; H0 lineage retained,SECURITY DEFINER payment callbacks,P0
11,20260616,supabase/migrations/20260616_rls_security_hardening.sql,F,Security-critical,drift-sensitive enumeration,Runs but only affects tables then present,Re-run can change access unexpectedly,freeze; baseline declares per-object final RLS/grants,blanket RLS/revoke,P0
12,20260626,supabase/migrations/20260626_production_launch_readiness.sql,D,Drift-sensitive,also security-critical and manual dependencies,Conditional branches create divergent schemas,Unsafe as a monolithic production replay,freeze; split final state into baseline and future narrow forwards,RLS/policies/SECURITY DEFINER/user data,P0
13,20260627,supabase/migrations/20260627_customer_experience_production_patch.sql,D,Drift-sensitive,embedded preflight; reference-data mutation,Behavior varies by existing columns/tables,Unsafe without object/data diff,freeze; baseline absorbs final state; reference data separated,RLS and user/payment metadata,P1
14,20260628,supabase/migrations/20260628_cosmoskin_final_ecommerce_hotfix.sql,D,Drift-sensitive,also security-critical and superseded,Conditional compatibility behavior,Function/policy replacement unsafe without live diff,freeze; baseline uses approved final definitions,SECURITY DEFINER and own-row policies,P0
15,20260629,supabase/migrations/20260629_cosmoskin_checkout_bank_transfer_final_fix.sql,E,Superseded/duplicate,broad destructive compatibility migration,Can create core but rewrites/drops schema state,Never replay on existing production,freeze; superseded by UAT lineage; baseline only,SECURITY DEFINER and policy changes,P0
16,20260629,supabase/migrations/20260629_cosmoskin_final_user_acceptance_fix.sql,E,Superseded/duplicate,byte-identical duplicate follows,Can create core but includes broad state rewrites,Never replay on existing production,freeze; exact duplicate pair retained for audit only,SECURITY DEFINER and policies,P0
17,20260629,supabase/migrations/20260629_cosmoskin_final_user_acceptance_fix_v2.sql,E,Superseded/duplicate,exact SHA-256 duplicate,Would repeat broad migration if separately applied,Never replay,freeze; duplicate retained for audit only,SECURITY DEFINER and policies,P0
18,20260629,supabase/migrations/20260629_cosmoskin_post_verification_hotfix.sql,B,Production-forward-safe,operational data and delete/update behavior,Can create table but is not clean schema-only bootstrap,Only after approved bank config/data preflight,freeze; schema in baseline; data in protected config seed,bank account operational data,P1
19,20260702,supabase/migrations/20260702_customer_returns_account_pdp_polish.sql,B,Production-forward-safe,manual storage and naming dependencies,Requires return/order bases,Only with data/constraint preflight,freeze; final state in baseline; future fixes narrow forwards,return PII and attachment metadata,P0
20,20260702,supabase/migrations/20260702_routine_data_sync.sql,A,Bootstrap-safe,requires earlier repository-created routine tables,Runs after broad bridge if it succeeded,Existing production needs schema diff first,freeze; final state in baseline,user profile data,P1
21,20260703,supabase/migrations/20260703_account_experience_final_polish.sql,D,Drift-sensitive,silent ALTER-before-CREATE,Skips notification fields on clean lexical replay,Re-run outcome depends on table presence,freeze; baseline declares final columns,preference data,P1
22,20260703,supabase/migrations/20260703_account_runtime_hotfixes.sql,D,Drift-sensitive,manual storage dependency; silent skips,Skips absent preference table,Outcome depends on partial live state,freeze; baseline declares final state,profile/return data,P1
23,20260703,supabase/migrations/20260703_batch1_account_safe_functional_fixes.sql,F,Security-critical,version collision; protected UX4 fields,Creates preference base and own-row RLS,Direct UPDATE boundary remains risky,freeze; baseline captures current state; DB1C-2 forward fixes,RLS and profile integrity,P0
24,20260703,supabase/migrations/20260703_batch3_customer_order_cancellation.sql,B,Production-forward-safe,constraint/data-state sensitive,Requires orders/events,Preflight status vocabulary and rows,freeze; baseline plus future narrow changes,customer order integrity,P1
25,20260704,supabase/migrations/20260704_batch4_loyalty_ledger.sql,F,Security-critical,also drift-sensitive,Requires broad membership/commerce base,Privileged RPCs and ledger invariants,freeze; live final definitions in baseline; DB1C-1 forward hardening,SECURITY DEFINER,P0
26,20260704,supabase/migrations/20260704_h0_live_payment_rpc_hotfix.sql,F,Security-critical,live-state-specific hotfix,Requires exact production vocabulary,Not portable without baseline contract,freeze; final live function lineage captured,SECURITY DEFINER payment/inventory,P0
27,20260704,supabase/migrations/20260704_h0b_release_expired_inventory_patch.sql,E,Superseded/duplicate,superseded by H0c,Requires core objects,Do not use as final function body,freeze; superseded lineage retained,SECURITY DEFINER,P1
28,20260704,supabase/migrations/20260704_h0c_release_expired_pending_status_patch.sql,F,Security-critical,final corrective definition,Requires core objects,Privileged function needs DB1C-1 review,freeze; final live body captured; forward hardening later,SECURITY DEFINER,P0
29,20260704,supabase/migrations/20260704_h1_return_attachment_storage_rls.sql,F,Security-critical,manual bucket/path dependency,Cannot bootstrap bucket by itself,Policy change unsafe without bucket/path proof,"freeze; storage policy in baseline, bucket config separate",storage RLS,P0
30,20260706,supabase/migrations/20260706_d3a_order_item_pricing_snapshot.sql,B,Production-forward-safe,requires order_items,Simple additive patch after core,Needs paid-snapshot data contract verification,freeze; baseline includes columns; future constraints forward,refund integrity,P0
31,20260707,supabase/migrations/20260707_p1c_admin_product_price_editing.sql,F,Security-critical,admin_permissions dependency; version collision,Creates pricing tables but insert fails without RBAC base,Existing production fields live; grants/policies still need proof,freeze; baseline plus DB1C-1 grant review,RLS/admin write boundary,P1
32,20260707,supabase/migrations/20260707_r1g_review_moderation_updated_at_fix.sql,C,Historical/manual dependency,function-name collision risk,Fails because reviews bases are absent from migrations,Unsafe without live trigger/function diff,freeze; manual review schema enters baseline,review moderation and storage,P0
33,20260709,supabase/migrations/20260709_p1e_sale_compare_at_price.sql,B,Production-forward-safe,constraint/data-state sensitive,Requires P1C pricing tables,Preflight existing prices/windows,freeze; baseline captures fields; future constraints forward,admin price integrity,P1
