sequence,version_prefix,path,domain,created_tables,altered_tables,created_functions,created_triggers,policies,indexes,grants_revokes,external_dependencies,required_preexisting_objects,required_base_created_earlier,live_db1b_evidence,repository_provenance,replay_risk,topology_layer,ordering_or_dependency_finding
1,20260418,supabase/migrations/20260418_guest_checkout.sql,guest checkout / orders,none,orders,none,none,none,none,none,none,public.orders,no,orders reported live,historical/manual dependency,P0: unconditional ALTER-before-CREATE; first replay failure,L2 commerce base,Repository has not created orders; production ledger records this version
2,20260510,supabase/migrations/20260510_newsletter_subscribers.sql,newsletter / CRM,newsletter_subscribers,newsletter_subscribers,set_newsletter_subscribers_updated_at,newsletter_subscribers_set_updated_at,none,newsletter_subscribers:newsletter_subscribers_email_lower_unique; newsletter_subscribers:newsletter_subscribers_status_created_idx,none,pgcrypto,pgcrypto (created in file),yes,newsletter table migration row reported applied; live table not separately reconfirmed in DB1B summary,"canonical migration, live ledger entry",P1: includes trigger replacement and schema plus operational table,L1 standalone base,Same version prefix is shared by two other files; ledger row cannot identify which file body ran
3,20260510,supabase/migrations/20260510_operations_inventory_orders_shipments.sql,inventory / orders / shipments,product_inventory; inventory_movements; restock_alerts,orders; shipments,none,none,none,product_inventory:idx_product_inventory_status; product_inventory:idx_product_inventory_slug; inventory_movements:idx_inventory_movements_product_created; inventory_movements:idx_inventory_movements_order; restock_alerts:uq_restock_alerts_waiting_email_product; restock_alerts:idx_restock_alerts_status_product; shipments:idx_shipments_order_created; orders:idx_orders_fulfillment_created,none,pgcrypto; auth.users,auth.users; public.orders; public.shipments; optional legacy public.inventory,no,"orders, shipments, product_inventory reported live",historical/manual base dependency,P0: orders and shipments are altered before any repository base CREATE,L2 operations foundation,Shares version 20260510; depends on manual commerce base
4,20260510,supabase/migrations/20260510_phase1_operational_safety.sql,inventory reservations / events,inventory_reservations; email_events; order_status_events; payment_events,product_inventory; inventory_movements; order_status_events; orders; shipments,none,none,none,inventory_reservations:idx_inventory_reservations_order; inventory_reservations:idx_inventory_reservations_expiry; inventory_reservations:idx_inventory_reservations_product; email_events:idx_email_events_order_created; email_events:idx_email_events_customer_created; email_events:idx_email_events_type_status; payment_events:idx_payment_events_order; payment_events:idx_payment_events_reference; payment_events:uq_payment_events_provider_payment_processed; orders:idx_orders_email_number; orders:idx_orders_status_payment_fulfillment,none,pgcrypto,product_inventory; inventory_movements; orders; shipments,partial: product_inventory and movements are earlier; orders/shipments are not,"orders, shipments, product_inventory reported live; event tables not fully summarized",historical/manual base dependency,P0: FK/ALTER dependencies on absent orders and shipments; drop/recreate constraints are state-sensitive,L3 operational events,Shares version 20260510; cannot be uniquely represented in timestamp-only ledger
5,20260511,supabase/migrations/20260511_phase2_invoice_returns_refunds.sql,invoices / returns / refunds / shipment events,invoice_records; return_requests; refund_records; shipment_events,invoice_records; return_requests; refund_records; shipments; email_events,none,none,none,invoice_records:idx_invoice_records_order; invoice_records:idx_invoice_records_status; invoice_records:uq_invoice_records_invoice_number; return_requests:idx_return_requests_order; return_requests:idx_return_requests_customer; return_requests:idx_return_requests_status_refund; return_requests:uq_return_requests_active_order; refund_records:idx_refund_records_order; refund_records:idx_refund_records_return; refund_records:idx_refund_records_status; shipments:idx_shipments_order_status; shipment_events:idx_shipment_events_order; shipment_events:idx_shipment_events_shipment,none,pgcrypto,orders; shipments; email_events,partial: email_events earlier; orders/shipments absent,"invoice_records, refund_records, return_requests, shipments reported live",historical/manual base dependency,P0: order FK and shipment ALTER rely on out-of-band bases,L4 post-order operations,Shares version 20260511; data/constraint behavior depends on existing state
6,20260511,supabase/migrations/20260511_phase3_compliance_crm_security.sql,compliance / CRM / admin,product_compliance; inventory_lots; supplier_records; consent_records; crm_events; admin_users,none,none,none,none,product_compliance:idx_product_compliance_slug; inventory_lots:idx_inventory_lots_product_slug; inventory_lots:idx_inventory_lots_expiry_status; supplier_records:idx_supplier_records_name; consent_records:idx_consent_records_email_type; crm_events:idx_crm_events_email_type; crm_events:idx_crm_events_product; admin_users:idx_admin_users_email,none,none,public schema,yes,not fully reconfirmed in DB1B summary; DB1 repository provenance clear,canonical repository migration,P1: tables are replayable but RLS/grant posture is incomplete and later hardening is order-sensitive,L1 standalone base,Shares version 20260511 but does not depend on earlier commerce tables
7,20260517,supabase/migrations/20260517_checkout_bank_transfer_statuses.sql,orders / payments,none,orders; payments,none,none,none,none,none,none,orders; payments,no,orders and payments reported live,historical/manual base dependency,P0: unconditional ALTER of bases not created earlier,L3 commerce status,Production-forward only; destructive constraint replacement can vary with live vocabulary
8,20260616,supabase/migrations/20260616_atomic_inventory_reservation.sql,inventory RPC,none,none,reserve_product_inventory,none,none,none,none,none,product_inventory,yes if 20260510 operations succeeded,product_inventory reported live,canonical function migration; apply-state unproven,P0 security: SECURITY DEFINER with no explicit revoke/grant block in this file,L4 inventory functions,Function depends on product_inventory shape and privileges
9,20260616,supabase/migrations/20260616_inventory_reservation_hardening.sql,inventory reservations / RPCs,none,orders; product_inventory; inventory_movements,reserve_order_inventory; release_order_inventory; convert_order_inventory; release_expired_inventory_reservations,none,none,orders:uq_orders_checkout_idempotency_key; product_inventory:uq_product_inventory_normalized_slug,"GRANT EXECUTE ON FUNCTION public.reserve_order_inventory(uuid, jsonb, timestamptz, text) TO service_role; GRANT EXECUTE ON FUNCTION public.release_order_inventory(uuid, text) TO service_role; GRANT EXECUTE ON FUNCTION public.convert_order_inventory(uuid) TO service_role; GRANT EXECUTE ON FUNCTION public.release_expired_inventory_reservations(integer) TO service_role; REVOKE ALL ON FUNCTION public.reserve_order_inventory(uuid, jsonb, timestamptz, text) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.release_order_inventory(uuid, text) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.convert_order_inventory(uuid) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.release_expired_inventory_reservations(integer) FROM PUBLIC, anon, authenticated",none,orders; product_inventory; inventory_movements; inventory_reservations,partial: inventory objects earlier; orders absent,orders and product_inventory reported live,production-forward / partial,P0: privileged RPCs and constraint rewrites; historical order base missing,L5 inventory hardening,Explicit service_role grants are positive; same version prefix collision remains
10,20260616,supabase/migrations/20260616_payment_bank_and_callback_hardening.sql,payments / bank transfer / callbacks,payment_bank_accounts,payment_bank_accounts,is_valid_tr_iban; process_iyzico_payment_success; process_iyzico_payment_failure; release_expired_inventory_reservations,none,none,payment_bank_accounts:uq_payment_bank_accounts_normalized_iban; payment_bank_accounts:idx_payment_bank_accounts_active_order; payment_events:idx_payment_events_iyzico_order_event; payment_events:idx_payment_events_iyzico_token,"GRANT EXECUTE ON FUNCTION public.is_valid_tr_iban(text) TO service_role; GRANT EXECUTE ON FUNCTION public.process_iyzico_payment_success(uuid, text, text, jsonb) TO service_role; GRANT EXECUTE ON FUNCTION public.process_iyzico_payment_failure(uuid, text, text, jsonb) TO service_role; GRANT EXECUTE ON FUNCTION public.release_expired_inventory_reservations(integer) TO service_role; REVOKE ALL ON FUNCTION public.is_valid_tr_iban(text) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.process_iyzico_payment_success(uuid, text, text, jsonb) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.process_iyzico_payment_failure(uuid, text, text, jsonb) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.release_expired_inventory_reservations(integer) FROM PUBLIC, anon, authenticated",pgcrypto,orders; payments; payment_events; order_status_events; inventory_reservations,no: orders/payments absent before this point,orders and payments reported live,production-forward / partial,P0: SECURITY DEFINER callbacks and live evidence later recorded partial application,L5 payment hardening,Later H0 file states this file stopped partway in production
11,20260616,supabase/migrations/20260616_rls_security_hardening.sql,RLS / grants,none,public,none,none,none,none,"REVOKE ALL ON TABLE public.%I FROM anon, authenticated', table_name)",none,then-existing public tables,state-dependent,RLS reported enabled on ten P0 tables; blanket file apply-state unproven,drift-sensitive security migration,P0: dynamic blanket hardening only covers tables existing at execution time,L6 security overlay,Later-created tables are outside this one-time enumeration
12,20260626,supabase/migrations/20260626_production_launch_readiness.sql,account / loyalty / legal / admin / shipping,profiles; customer_preferences; customer_skin_profiles; customer_routine_results; membership_levels; customer_membership_status; customer_membership_history; loyalty_point_rules; loyalty_points_ledger; loyalty_redemptions; customer_coupons; birthday_benefits; campaign_eligibility_logs; admin_roles; admin_permissions; admin_activity_logs; legal_document_versions; order_legal_snapshots; order_legal_consents; shipping_settings; return_items,customer_preferences; admin_users; order_legal_snapshots; order_legal_consents; orders; consent_records; shipments; shipment_events; shipping_events; invoice_records; coupons; coupon_redemptions; newsletter_subscribers; profiles; customer_skin_profiles; customer_routine_results; customer_membership_status; customer_membership_history; loyalty_points_ledger; loyalty_redemptions; customer_coupons; birthday_benefits; legal_document_versions,set_updated_at; handle_new_auth_user_profile; recalculate_customer_membership,profiles_set_updated_at; customer_membership_status_set_updated_at; on_auth_user_created_profile,profiles:profiles_select_own; profiles:profiles_update_own; customer_preferences:customer_preferences_own; customer_skin_profiles:customer_skin_profiles_own; customer_routine_results:customer_routine_results_own; customer_membership_status:customer_membership_status_select_own; customer_membership_history:customer_membership_history_select_own; loyalty_points_ledger:loyalty_points_ledger_select_own; loyalty_redemptions:loyalty_redemptions_select_own; customer_coupons:customer_coupons_select_own; birthday_benefits:birthday_benefits_select_own; legal_document_versions:legal_document_versions_public_active; order_legal_snapshots:order_legal_snapshots_select_own; order_legal_consents:order_legal_consents_select_own,customer_preferences:customer_preferences_user_unique; customer_preferences:customer_preferences_email_unique; customer_skin_profiles:customer_skin_profiles_user_created_idx; customer_routine_results:customer_routine_results_user_completed_idx; loyalty_points_ledger:loyalty_points_ledger_user_created_idx; loyalty_points_ledger:loyalty_points_ledger_order_idx; customer_coupons:customer_coupons_user_status_idx; customer_coupons:customer_coupons_code_unique; admin_activity_logs:admin_activity_logs_resource_idx; order_legal_snapshots:order_legal_snapshots_order_idx; order_legal_consents:order_legal_consents_order_idx; order_legal_consents:order_legal_consents_email_idx; return_items:return_items_return_idx; orders:orders_checkout_idempotency_key_unique,none,pgcrypto; auth.users,"auth.users plus orders, shipments, shipment_events, shipping_events, invoice_records, coupons, coupon_redemptions, admin_users, consent_records, newsletter_subscribers",partial; many IF EXISTS branches silently skip absent objects,profiles and membership alternatives reported live; many dependent objects live but exact branch outcomes unknown,bridge migration / drift-sensitive,"P0: conditional DDL, reference-data writes, functions, policies, and missing bases produce environment-specific results",L7 broad bridge,Creates and alters many domains; not a deterministic canonical baseline
13,20260627,supabase/migrations/20260627_customer_experience_production_patch.sql,loyalty / payment methods / invoices / product routine tags,loyalty_points_ledger; customer_payment_methods; invoice_records; product_routine_tags; risky_cosmetic_claim_terms,loyalty_points_ledger; customer_payment_methods; invoice_records,none,none,customer_payment_methods:customer_payment_methods_own_select; invoice_records:invoice_records_own_select,loyalty_points_ledger:loyalty_points_ledger_transaction_reference_uidx; loyalty_points_ledger:loyalty_points_ledger_status_idx; customer_payment_methods:customer_payment_methods_user_idx; invoice_records:invoice_records_user_idx; invoice_records:invoice_records_order_idx; product_routine_tags:product_routine_tags_slug_idx; product_routine_tags:product_routine_tags_step_idx,none,pgcrypto; auth.users,auth.users; membership_levels; customer_membership_status/history,yes only if prior bridge ran fully,invoice_records and membership alternatives reported live,compatibility patch / drift-sensitive,P1: DO branches create or alter different shapes; includes reference-data updates and legacy tier rewrites,L8 customer experience,Header contains an embedded preflight plus patch; behavior varies by prior partial state
14,20260628,supabase/migrations/20260628_cosmoskin_final_ecommerce_hotfix.sql,profiles / addresses / inventory compatibility,profiles; user_addresses; payment_bank_accounts; product_inventory; inventory_reservations,profiles; user_addresses; product_inventory; order_items; email_events,handle_new_auth_user_profile; reserve_order_inventory; release_order_inventory; convert_order_inventory,on_auth_user_created_profile,profiles:profiles_select_self; profiles:profiles_update_self; user_addresses:user_addresses_select_self; user_addresses:user_addresses_insert_self; user_addresses:user_addresses_update_self; user_addresses:user_addresses_delete_self,user_addresses:idx_user_addresses_user_default; payment_bank_accounts:uq_payment_bank_accounts_iban_norm; product_inventory:uq_product_inventory_slug_norm; inventory_reservations:idx_inventory_reservations_order; inventory_reservations:idx_inventory_reservations_product,"GRANT execute on function public.reserve_order_inventory(uuid, jsonb, timestamptz, text) TO service_role; GRANT execute on function public.release_order_inventory(uuid, text) TO service_role; GRANT execute on function public.convert_order_inventory(uuid) TO service_role; REVOKE all on function public.reserve_order_inventory(uuid, jsonb, timestamptz, text) FROM public, anon, authenticated; REVOKE all on function public.release_order_inventory(uuid, text) FROM public, anon, authenticated; REVOKE all on function public.convert_order_inventory(uuid) FROM public, anon, authenticated",pgcrypto; auth.users,auth.users; orders; order_items; email_events; inventory objects,partial; several bases are conditional or still absent,"profiles, user_addresses, product_inventory reported live",compatibility hotfix / drift-sensitive,P0: replaces privileged inventory/profile functions and conditionally patches missing tables,L8 compatibility bridge,Later 20260629 files supersede much of this compatibility shape
