sequence,version_prefix,path,domain,created_tables,altered_tables,created_functions,created_triggers,policies,indexes,grants_revokes,external_dependencies,required_preexisting_objects,required_base_created_earlier,live_db1b_evidence,repository_provenance,replay_risk,topology_layer,ordering_or_dependency_finding
15,20260629,supabase/migrations/20260629_cosmoskin_checkout_bank_transfer_final_fix.sql,core commerce bootstrap / bank transfer,orders; order_items; payments; order_status_events; email_events; product_inventory; inventory_reservations; payment_bank_accounts; profiles; user_addresses,orders; order_items; payments; order_status_events; email_events; product_inventory; inventory_reservations; payment_bank_accounts; profiles; user_addresses,reserve_order_inventory; release_order_inventory; convert_order_inventory; handle_new_user_profile,on_auth_user_created_cosmoskin_profile,user_addresses:user_addresses_select_own; user_addresses:user_addresses_insert_own; user_addresses:user_addresses_update_own; user_addresses:user_addresses_delete_own,orders:orders_checkout_idempotency_key_uidx; order_items:order_items_order_id_idx; payments:payments_order_id_idx; order_status_events:order_status_events_order_id_idx; email_events:email_events_order_id_idx; product_inventory:product_inventory_product_slug_uidx; inventory_reservations:inventory_reservations_order_id_idx; inventory_reservations:inventory_reservations_slug_status_idx; payment_bank_accounts:payment_bank_accounts_iban_normalized_uidx; user_addresses:user_addresses_user_id_idx; user_addresses:user_addresses_one_default_per_type_uidx,"GRANT execute on function public.reserve_order_inventory(uuid,jsonb,timestamptz,text) TO service_role; GRANT execute on function public.release_order_inventory(uuid,text) TO service_role; GRANT execute on function public.convert_order_inventory(uuid) TO service_role; GRANT select, insert, update, delete on public.user_addresses TO authenticated; GRANT usage on schema public TO authenticated; REVOKE all on function public.reserve_order_inventory(uuid,jsonb,timestamptz,text) FROM public, anon, authenticated; REVOKE all on function public.release_order_inventory(uuid,text) FROM public, anon, authenticated; REVOKE all on function public.convert_order_inventory(uuid) FROM public, anon, authenticated",pgcrypto; auth.users,public schema; auth.users,mostly self-creates core objects,"orders, order_items, payments, product_inventory reported live",broad compatibility migration; later superseded,"P0: drops views, columns, checks, and rewrites money types/functions; unsafe as a universal baseline",L2-L8 monolithic bridge,Superseded by broader UAT migration; not safe to replay on production
16,20260629,supabase/migrations/20260629_cosmoskin_final_user_acceptance_fix.sql,broad UAT commerce compatibility,orders; order_items; payments; order_status_events; email_events; product_inventory; inventory_reservations; payment_bank_accounts; profiles; user_addresses; coupons; customer_coupons; coupon_redemptions,orders; order_items; payments; order_status_events; email_events; product_inventory; inventory_reservations; payment_bank_accounts; profiles; user_addresses; coupons; customer_coupons; coupon_redemptions,reserve_order_inventory; release_order_inventory; convert_order_inventory; handle_new_user_profile,on_auth_user_created_cosmoskin_profile,user_addresses:user_addresses_select_own; user_addresses:user_addresses_insert_own; user_addresses:user_addresses_update_own; user_addresses:user_addresses_delete_own; customer_coupons:customer_coupons_select_own,orders:orders_checkout_idempotency_key_uidx; order_items:order_items_order_id_idx; payments:payments_order_id_idx; order_status_events:order_status_events_order_id_idx; email_events:email_events_order_id_idx; product_inventory:product_inventory_product_slug_uidx; inventory_reservations:inventory_reservations_order_id_idx; inventory_reservations:inventory_reservations_slug_status_idx; payment_bank_accounts:payment_bank_accounts_iban_normalized_uidx; user_addresses:user_addresses_user_id_idx; user_addresses:user_addresses_one_default_per_type_uidx; coupons:coupons_code_upper_idx; customer_coupons:customer_coupons_user_code_idx; customer_coupons:customer_coupons_email_code_idx; coupon_redemptions:coupon_redemptions_coupon_idx; coupon_redemptions:coupon_redemptions_order_idx; coupon_redemptions:coupon_redemptions_customer_idx,"GRANT execute on function public.reserve_order_inventory(uuid,jsonb,timestamptz,text) TO service_role; GRANT execute on function public.release_order_inventory(uuid,text) TO service_role; GRANT execute on function public.convert_order_inventory(uuid) TO service_role; GRANT select, insert, update, delete on public.user_addresses TO authenticated; GRANT usage on schema public TO authenticated; REVOKE all on function public.reserve_order_inventory(uuid,jsonb,timestamptz,text) FROM public, anon, authenticated; REVOKE all on function public.release_order_inventory(uuid,text) FROM public, anon, authenticated; REVOKE all on function public.convert_order_inventory(uuid) FROM public, anon, authenticated",pgcrypto; auth.users,public schema; auth.users,mostly self-creates core objects,P0 commerce and coupon tables reported live,broad compatibility migration / superseded,P0: monolithic DDL/data/constraint/function changes; exact duplicate follows,L2-L8 monolithic bridge,Byte-identical to v2 and shares the same version prefix with three other files
17,20260629,supabase/migrations/20260629_cosmoskin_final_user_acceptance_fix_v2.sql,broad UAT commerce compatibility,orders; order_items; payments; order_status_events; email_events; product_inventory; inventory_reservations; payment_bank_accounts; profiles; user_addresses; coupons; customer_coupons; coupon_redemptions,orders; order_items; payments; order_status_events; email_events; product_inventory; inventory_reservations; payment_bank_accounts; profiles; user_addresses; coupons; customer_coupons; coupon_redemptions,reserve_order_inventory; release_order_inventory; convert_order_inventory; handle_new_user_profile,on_auth_user_created_cosmoskin_profile,user_addresses:user_addresses_select_own; user_addresses:user_addresses_insert_own; user_addresses:user_addresses_update_own; user_addresses:user_addresses_delete_own; customer_coupons:customer_coupons_select_own,orders:orders_checkout_idempotency_key_uidx; order_items:order_items_order_id_idx; payments:payments_order_id_idx; order_status_events:order_status_events_order_id_idx; email_events:email_events_order_id_idx; product_inventory:product_inventory_product_slug_uidx; inventory_reservations:inventory_reservations_order_id_idx; inventory_reservations:inventory_reservations_slug_status_idx; payment_bank_accounts:payment_bank_accounts_iban_normalized_uidx; user_addresses:user_addresses_user_id_idx; user_addresses:user_addresses_one_default_per_type_uidx; coupons:coupons_code_upper_idx; customer_coupons:customer_coupons_user_code_idx; customer_coupons:customer_coupons_email_code_idx; coupon_redemptions:coupon_redemptions_coupon_idx; coupon_redemptions:coupon_redemptions_order_idx; coupon_redemptions:coupon_redemptions_customer_idx,"GRANT execute on function public.reserve_order_inventory(uuid,jsonb,timestamptz,text) TO service_role; GRANT execute on function public.release_order_inventory(uuid,text) TO service_role; GRANT execute on function public.convert_order_inventory(uuid) TO service_role; GRANT select, insert, update, delete on public.user_addresses TO authenticated; GRANT usage on schema public TO authenticated; REVOKE all on function public.reserve_order_inventory(uuid,jsonb,timestamptz,text) FROM public, anon, authenticated; REVOKE all on function public.release_order_inventory(uuid,text) FROM public, anon, authenticated; REVOKE all on function public.convert_order_inventory(uuid) FROM public, anon, authenticated",pgcrypto; auth.users,public schema; auth.users,mostly self-creates core objects,P0 commerce and coupon tables reported live,duplicate migration,P0: exact duplicate would repeat data/DDL if distinguished; timestamp ledger cannot distinguish it,L2-L8 monolithic bridge,SHA-256 is identical to prior UAT file
18,20260629,supabase/migrations/20260629_cosmoskin_post_verification_hotfix.sql,payment bank accounts / reference data,payment_bank_accounts,payment_bank_accounts,none,none,none,payment_bank_accounts:payment_bank_accounts_iban_normalized_uidx,none,none,payment_bank_accounts (self-created if absent),yes for table; operational data is environment-specific,payment bank infrastructure exists in repository; live summary does not prove seed equivalence,production-forward operational hotfix,P1: deletes duplicates and upserts real bank configuration; not schema-only baseline material,L9 operational configuration,Must separate schema from protected environment reference data
19,20260702,supabase/migrations/20260702_customer_returns_account_pdp_polish.sql,returns / attachments / account compatibility,return_request_items; return_request_attachments; return_status_events; return_shipping_settings,return_requests; notification_preferences; profiles; email_events,none,none,none,return_requests:uq_return_requests_return_number; return_request_items:idx_return_request_items_request; return_request_items:idx_return_request_items_product; return_request_attachments:idx_return_request_attachments_request; return_request_attachments:idx_return_request_attachments_customer; return_status_events:idx_return_status_events_request; return_shipping_settings:idx_return_shipping_settings_active,none,pgcrypto,return_requests; orders; optional notification_preferences/profiles/email_events,partial: orders now earlier; return_requests depends on earlier broken phase2,return_requests and return-items alternatives reported live,production-forward / partial,P0/P1: child FKs require live bases; unconditional UPDATE and constraint replacement are data-sensitive,L9 returns expansion,Return naming and storage bucket are not fully canonical
20,20260702,supabase/migrations/20260702_routine_data_sync.sql,skin profile / routine sync,none,customer_skin_profiles; customer_routine_results,none,none,none,customer_skin_profiles:customer_skin_profiles_user_updated_idx; customer_routine_results:customer_routine_results_user_active_updated_idx; customer_routine_results:customer_routine_results_email_active_updated_idx,none,none,customer_skin_profiles; customer_routine_results,yes if 20260626 bridge created them,membership/profile objects reported live; routine tables not specifically summarized,canonical forward patch,P1: unconditional ALTER requires prior bridge and indexes depend on added columns,L9 account expansion,Shares version 20260702 with returns migration
21,20260703,supabase/migrations/20260703_account_experience_final_polish.sql,profiles / preferences / membership cache,none,profiles; notification_preferences; customer_membership_status,none,none,none,none,none,none,profiles; notification_preferences; customer_membership_status,state-dependent; all ALTER IF EXISTS,profiles and notification_preferences reported live,drift-sensitive compatibility patch,P1: silently skips notification_preferences because its base migration sorts later on a clean replay,L10 account compatibility,ALTER-before-CREATE is masked by IF EXISTS; same-day ordering is ambiguous
22,20260703,supabase/migrations/20260703_account_runtime_hotfixes.sql,returns / preferences / profiles / storage note,none,return_requests; notification_preferences; profiles,none,none,none,none,none,none; storage schema/bucket,return_requests; notification_preferences; profiles; manual return-attachments bucket,state-dependent; all table ALTERs use IF EXISTS,"profiles, notification_preferences, return_requests reported live",drift-sensitive compatibility patch,P1: silent skips plus manual storage dependency,L10 account compatibility,Runs before notification_preferences base by lexical order
23,20260703,supabase/migrations/20260703_batch1_account_safe_functional_fixes.sql,notification preferences / birthday / RLS,notification_preferences,profiles; notification_preferences,none,none,notification_preferences:notification_preferences_select_self; notification_preferences:notification_preferences_insert_self; notification_preferences:notification_preferences_update_self,notification_preferences:idx_notification_preferences_user,none,pgcrypto; auth.users,auth.users; optional profiles,yes for notification_preferences; profiles patch conditional,profiles and notification_preferences reported live with RLS,canonical security-sensitive migration; apply-state unproven,P0: establishes direct own-row policies and protected profile fields,L10 account base/security,Same version prefix as three earlier files; exact execution order cannot be ledger-proven
24,20260703,supabase/migrations/20260703_batch3_customer_order_cancellation.sql,order cancellation,none,orders; order_status_events,none,none,none,orders:idx_orders_cancel_requested_at,none,none,orders; order_status_events,yes only after 20260629 core creation,orders and order_items reported live,production-forward migration,P1: data/constraint vocabulary sensitive; requires core tables,L10 commerce extension,Shares version 20260703
25,20260704,supabase/migrations/20260704_batch4_loyalty_ledger.sql,loyalty ledger / membership RPCs,loyalty_points_ledger,loyalty_points_ledger; customer_membership_status,cosmoskin_order_points_basis; cosmoskin_award_loyalty_for_order; cosmoskin_promote_loyalty_for_order; cosmoskin_promote_due_loyalty_points; cosmoskin_reverse_loyalty_for_order; cosmoskin_loyalty_balance_for_user; recalculate_customer_membership,none,none,loyalty_points_ledger:loyalty_points_ledger_transaction_reference_uidx; loyalty_points_ledger:loyalty_points_ledger_status_idx; loyalty_points_ledger:loyalty_points_ledger_order_event_idx,"GRANT EXECUTE ON FUNCTION public.cosmoskin_order_points_basis(uuid) TO service_role; GRANT EXECUTE ON FUNCTION public.cosmoskin_award_loyalty_for_order(uuid) TO service_role; GRANT EXECUTE ON FUNCTION public.cosmoskin_promote_loyalty_for_order(uuid) TO service_role; GRANT EXECUTE ON FUNCTION public.cosmoskin_promote_due_loyalty_points(integer) TO service_role; GRANT EXECUTE ON FUNCTION public.cosmoskin_reverse_loyalty_for_order(uuid, text, numeric, text) TO service_role; GRANT EXECUTE ON FUNCTION public.cosmoskin_loyalty_balance_for_user(uuid) TO service_role; REVOKE ALL ON FUNCTION public.cosmoskin_order_points_basis(uuid) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.cosmoskin_award_loyalty_for_order(uuid) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.cosmoskin_promote_loyalty_for_order(uuid) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.cosmoskin_promote_due_loyalty_points(integer) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.cosmoskin_reverse_loyalty_for_order(uuid, text, numeric, text) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.cosmoskin_loyalty_balance_for_user(uuid) FROM PUBLIC, anon, authenticated",none,orders; order_items; membership_levels; customer_membership_status/history; loyalty_points_ledger,yes if broad bridge/UAT files completed,membership alternatives reported live; exact ledger function state not fully summarized,security-critical forward migration,"P0: multiple SECURITY DEFINER RPCs, one recalculate function lacks equivalent hardening evidence",L11 loyalty functions,Same version as four unrelated hotfixes; later DB1B found broad executable definer functions
26,20260704,supabase/migrations/20260704_h0_live_payment_rpc_hotfix.sql,payment callbacks / inventory expiry,none,orders,process_iyzico_payment_success; process_iyzico_payment_failure; release_expired_inventory_reservations,none,none,none,"GRANT EXECUTE ON FUNCTION public.process_iyzico_payment_success(uuid, text, text, jsonb) TO service_role; GRANT EXECUTE ON FUNCTION public.process_iyzico_payment_failure(uuid, text, text, jsonb) TO service_role; GRANT EXECUTE ON FUNCTION public.release_expired_inventory_reservations(integer) TO service_role; REVOKE ALL ON FUNCTION public.process_iyzico_payment_success(uuid, text, text, jsonb) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.process_iyzico_payment_failure(uuid, text, text, jsonb) FROM PUBLIC, anon, authenticated; REVOKE ALL ON FUNCTION public.release_expired_inventory_reservations(integer) FROM PUBLIC, anon, authenticated",none,orders; payments; payment_events; inventory_reservations; coupon_redemptions; convert_order_inventory,yes only after core/UAT files,"orders, payments, coupon_redemptions reported live",security-critical live hotfix,P0: replaces privileged RPCs and order constraint based on confirmed partial live state,L11 payment functions,Explicitly documents partial application of 20260616 migration
27,20260704,supabase/migrations/20260704_h0b_release_expired_inventory_patch.sql,inventory expiry RPC,none,none,release_expired_inventory_reservations,none,none,none,"GRANT EXECUTE ON FUNCTION public.release_expired_inventory_reservations(integer) TO service_role; REVOKE ALL ON FUNCTION public.release_expired_inventory_reservations(integer) FROM PUBLIC, anon, authenticated",none,orders; payments; payment_events; inventory_reservations,yes only after core/UAT files,orders and payments reported live,corrective patch / superseded,P1: replaces one SECURITY DEFINER body; superseded by H0c,L12 function correction,Do not use as final-state function definition
28,20260704,supabase/migrations/20260704_h0c_release_expired_pending_status_patch.sql,inventory expiry RPC,none,none,release_expired_inventory_reservations,none,none,none,"GRANT EXECUTE ON FUNCTION public.release_expired_inventory_reservations(integer) TO service_role; REVOKE ALL ON FUNCTION public.release_expired_inventory_reservations(integer) FROM PUBLIC, anon, authenticated",none,orders; payments; payment_events; inventory_reservations,yes only after core/UAT files,orders and payments reported live,security-critical final corrective patch,P0: final privileged function body/grants; depends on exact status vocabulary,L13 function correction,Supersedes H0b function definition
29,20260704,supabase/migrations/20260704_h1_return_attachment_storage_rls.sql,Storage RLS,none,none,none,none,storage:Customers can upload own return attachments; storage:Customers can read own return attachments; storage:Customers can delete own return attachments,none,none,none; storage schema/bucket,storage.objects; existing private return-attachments bucket; path convention,no repository base for bucket; platform storage schema external,return-attachments bucket/policies are operationally referenced; live ownership issue previously documented,security-critical storage patch,P0: drops/recreates storage policies and relies on bucket/path layout,L11 storage security,Bucket configuration is manual/out-of-band
30,20260706,supabase/migrations/20260706_d3a_order_item_pricing_snapshot.sql,order-item paid pricing snapshots,none,order_items,none,none,none,none,none,none,order_items,yes after 20260629 core creation,order_items reported live,production-forward migration,P0/P1: unconditional ALTER; snapshot semantics must align with refund code and live columns,L12 commerce snapshots,Must remain a forward migration for production and final-state baseline content
31,20260707,supabase/migrations/20260707_p1c_admin_product_price_editing.sql,price overrides / audit / admin permission,product_price_overrides; product_price_audit_logs,product_price_overrides; product_price_audit_logs,none,none,none,product_price_overrides:product_price_overrides_product_slug_uidx; product_price_audit_logs:product_price_audit_logs_slug_changed_at_idx,none,none,admin_permissions,yes only if 20260626 bridge created admin_permissions,price override and audit tables reported live,canonical security-sensitive migration; apply-state unproven,P0/P1: RLS enabled but grants/policies omitted; permission seed depends on RBAC base,L12 pricing,Shares version 20260707 with review patch; baseline must capture final grants explicitly
32,20260707,supabase/migrations/20260707_r1g_review_moderation_updated_at_fix.sql,reviews / review images,none,reviews; review_images,sync_review_approved_from_status; set_updated_at,trg_reviews_status_sync; trg_reviews_updated_at,none,none,none,none,reviews; review_images,no: bases exist only in root/manual SQL,reviews and review_images reported live,historical/manual base dependency,P0/P1: unconditional ALTER and triggers require manual tables; generic set_updated_at name can replace another definition,L12 review patch,Manual provenance and function-name collision risk
33,20260709,supabase/migrations/20260709_p1e_sale_compare_at_price.sql,sale / compare-at pricing,none,product_price_overrides; product_price_audit_logs,none,none,none,none,none,none,product_price_overrides; product_price_audit_logs,yes after P1C if timestamp collision did not block it,pricing tables and fields reported live,canonical production-forward migration; apply-state unproven,P1: constraint replacement depends on live data; no independent base,L13 pricing extension,Final migration in legacy set; requires P1C objects
