table_name,domain,referenced_by_code,migration_found,expected_columns,expected_indexes,expected_unique_constraints,expected_foreign_keys,expected_rls_enabled,expected_policies,current_provenance_status,risk_level,recommended_action
"admin_activity_logs","admin/RBAC","functions/api/_lib/admin-audit.js: insert","yes","id; actor_user_id; actor_email; role_code; action; resource_type; resource_id; before_data; after_data; ip_address; user_agent; metadata; created_at","(resource_type,resource_id,created_at desc); actor_email/created_at for investigations","none required beyond PK","actor_user_id -> auth.users or admin_users if identity model permits; role_code -> admin_roles(code)","yes","server-only; no anon/authenticated access","Created in 20260626 migration after 20260616 blanket RLS migration; no later RLS/grant block found","P0","Verify live RLS/grants immediately; add canonical server-only hardening migration"
"admin_permissions","admin/RBAC","functions/api/_lib/admin-audit.js: read; tests: read","yes","id; role_code; permission; created_at","role_code; permission lookup","unique(role_code,permission)","role_code -> admin_roles(code) on delete cascade","yes","server-only read/write","Created in 20260626 migration after blanket hardening; no RLS/grant block found","P0","Verify Data API exposure; harden grants/RLS and retain unique pair"
"admin_roles","admin/RBAC","supporting object used by admin_permissions and admin_users","yes","code; name; description; created_at","PK(code)","PK(code)","none","yes","server-only or explicitly read-only through server","Created in 20260626 migration after blanket hardening; no RLS/grant block found","P1","Verify grants/RLS and prevent direct role enumeration/mutation"
"admin_users","admin/RBAC","functions/api/_lib/admin.js; _lib/admin-audit.js; admin/users.js: read/write","yes","id; email; role; role_code; permissions; status; is_active; last_seen_at; created_at; updated_at","lower(email); status/is_active","unique normalized email","role_code -> admin_roles(code)","yes","server-only; admin identity checked before server writes","Base in 20260511 and hardened dynamically in 20260616; code writes legacy role while reads role_code fallback","P0","Verify RLS/revokes, email uniqueness normalization, role/role_code consistency, and status/is_active consistency"
"birthday_benefits","membership/loyalty","functions/api/cron/birthday-benefits.js: insert","yes","id; user_id; benefit_year; points_awarded; coupon_id; issued_at; expires_at; status; metadata","user_id; expires_at/status","unique(user_id,benefit_year)","user_id -> auth.users(id); coupon_id -> coupons/customer_coupons if applicable","yes","own select only; server-only insert/update","Created and RLS/policy defined in 20260626 migration","P1","Verify FK targets, own policy role scoping, and cron idempotency"
"campaign_eligibility_logs","CRM/membership","schema-supporting object; no direct runtime helper reference","yes","id; user_id; email; campaign_code; eligible; reason; metadata; created_at","user_id/created_at; lower(email)/created_at; campaign_code/created_at","none required","user_id -> auth.users(id)","yes","server-only","Created after blanket hardening; no RLS/grant block found","P1","Verify exposure and add server-only RLS/grants"
"checkout_idempotency","orders","tests/local-integration.test.mjs: test-only REST mock","no","legacy table is not expected; orders.checkout_idempotency_key is canonical","orders(checkout_idempotency_key)","unique non-null orders.checkout_idempotency_key","none","yes if table unexpectedly exists","server-only","Test-only legacy identifier; canonical migration uses column on orders","P2","Confirm table is absent or document legacy ownership; verify canonical unique index"
"consent_records","legal/consent","account/summary.js read; auth/register.js, consents.js, create-checkout.js, newsletter/subscribe.js insert","yes","id; user_id; email; consent_type; status; source; document_key; document_version; document_hash; ip_address; user_agent; metadata; created_at","user_id/created_at; lower(email),consent_type,created_at","event idempotency key recommended where retries possible","user_id -> auth.users(id)","yes","server-only; no direct customer mutation; own read only if explicitly needed","Created in 20260511; dynamically RLS-enabled/revoked in 20260616","P0","Verify FK, RLS/revokes, enum coverage, duplicate consent-event strategy, and retention access"
"coupon_redemptions","coupons","checkout/finalization/cancellation/account/admin/refund code: read/write","yes","id; coupon_id; order_id; user_id; customer_email; code; status; discount_amount; metadata; created_at; updated_at","coupon_id; order_id; user_id; lower(customer_email); code/status","idempotent reservation/redemption key per coupon+order; prevent duplicate active redemption","coupon_id -> coupons(id); order_id -> orders(id); user_id -> auth.users(id)","yes","server-only; customer may read own through server","Created in 20260626 and final-fix migrations; dynamically hardened","P0","Verify FKs, duplicate prevention, status constraint, and indexes used by checkout/finalization"
"coupon_reservations","coupons","tests/local-integration.test.mjs: test-only REST mock","no","not canonical; coupon_redemptions(status=reserved) is used","n/a","n/a","n/a","yes if table exists","server-only","Test-only legacy identifier","P2","Confirm absent or retire/document legacy test fixture"
"coupons","coupons","coupon validation/admin/account code: read/write","yes","id; code; title; type; value; min_subtotal; max_discount; usage_limit; per_customer_limit; starts_at; ends_at; is_active; stackable; excluded_product_slugs; excluded_categories; metadata; created_at; updated_at","normalized code; active/window; created_at","unique normalized code","none","yes","server-only writes; public validation only through trusted API","Created and evolved in 20260626/20260629 migrations; dynamically hardened","P0","Verify normalized code uniqueness, window/value checks, RLS/revokes, and metadata columns used by admin"
"crm_events","CRM/Brevo","functions/api/_lib/crm-events.js: insert","yes","id; user_id; email; event_type; product_slug; order_id; metadata; created_at","email,event_type,created_at; user_id,created_at; product_slug,event_type,created_at; order_id","dedupe/event id recommended for retries","user_id -> auth.users(id); order_id -> orders(id)","yes","server-only insert/read","Created in 20260511; dynamically RLS-enabled/revoked in 20260616","P1","Verify FKs, retry idempotency, retention, RLS/revokes, and allowed event constraint"
"customer_coupons","coupons/loyalty","account/summary, account/coupons, checkout, loyalty/redeem, admin issue: read/write","yes","id; user_id; email; coupon_id; code; source; status; min_subtotal; discount_type; discount_value; starts_at; expires_at; used_at; order_id; metadata; created_at; updated_at","user_id,status,expires_at; lower(email),status; order_id","code uniqueness currently global; verify intended model","user_id -> auth.users(id); coupon_id -> coupons(id); order_id -> orders(id)","yes","own select; server-only writes","Created/RLS policy in migrations","P1","Verify identity model, FK targets, code uniqueness semantics, and explicit grants"
"customer_membership_history","membership/loyalty","functions/api/account/membership.js: read","yes","id; user_id; old_level; new_level; reason; calculated_at; metadata","user_id,calculated_at desc","optional idempotency per recalculation event","user_id -> auth.users(id); level codes -> membership_levels(code)","yes","own select; server-only insert","Created/RLS policy in 20260626","P1","Verify level FKs/checks and prevent duplicate history on repeated recalculation"
"customer_membership_status","membership/loyalty","account/membership.js and summary.js: read; recalculate RPC writes","yes","user_id; level_code; rolling_spend_12m; completed_orders_12m; points_balance; next_level_code; amount_to_next_level; orders_to_next_level; calculated_at; valid_until; loyalty_spend_ex_shipping; available_points; pending_points; reversed_points; metadata; created_at; updated_at","PK(user_id); level_code","PK(user_id)","user_id -> auth.users(id); tier codes -> membership_levels(code)","yes","own select; server-only/RPC write","Clear migrations; final recalc RPC has no repository REVOKE/GRANT block","P0","Verify function EXECUTE privileges first; verify non-negative checks and tier FK integrity"
"customer_preferences","account/preferences","supporting legacy preference object; runtime uses notification_preferences/profiles","yes","id; user_id; email; newsletter_opt_in; marketing_email_opt_in; stock_alert_opt_in; routine_reminder_opt_in; birthday_benefit_opt_in; preferred_language; metadata; created_at; updated_at","user_id; normalized email","unique user_id when non-null; unique normalized email when non-null","user_id -> auth.users(id)","yes","own CRUD","Created/RLS policy in 20260626 but not canonical runtime source","P2","Decide deprecation vs consolidation; avoid two preference sources drifting"
"customer_routine_results","routine/personalization","account/routine-results.js read/write; summary.js read","yes","id; user_id; email; skin_profile_id; routine_key; routine_title; result; recommended_products; points_awarded; completed_at; created_at; updated_at","user_id,completed_at desc","idempotency per completed routine if required","user_id -> auth.users(id); skin_profile_id -> customer_skin_profiles(id)","yes","own CRUD","Created/RLS in 20260626 and patched in 20260702","P1","Verify unique/idempotency semantics and indexes on FK"
"customer_skin_profiles","account/routine","account/skin-profile.js read/upsert; summary.js read","yes","id; user_id; email; skin_type; sensitivity; concerns; routine_goal; routine_style; answers; source; created_at; updated_at","user_id,created_at desc","one current row per user if upsert uses user_id","user_id -> auth.users(id)","yes","own CRUD","Created/RLS in 20260626; routine sync migration adds compatibility","P1","Verify on_conflict target exists; add unique user_id if canonical one-row model"
"email_events","email/CRM","email helper/admin dashboard/logs/orders/retry: read/write","yes","id; order_id; customer_email; email_type; provider; status; subject; provider_message_id; error_message; metadata; sent_at; created_at; updated_at","order_id,created_at; lower(customer_email),created_at; email_type,status,created_at; provider_message_id","event idempotency/provider_message_id where applicable","order_id -> orders(id)","yes","server-only","Created/evolved in migrations and dynamically hardened","P1","Verify enum drift, FK, retry indexes, and idempotency"
"inventory","inventory legacy","tests/local-integration.test.mjs: test-only; root schema legacy table","out-of-band","product_slug; sku; stock_qty; reserved_qty; status","legacy only","PK(product_slug); unique sku","none","yes","server-only","Defined only in supabase/schema.sql; product_inventory is canonical runtime table","P2","Confirm legacy table is unused/retired and cannot diverge"
"inventory_lots","inventory/compliance","admin dashboard/lots: read/write","yes","id; product_slug; lot_number; expiry_date; quantity; supplier_name; purchase_reference; received_at; status; created_at; updated_at","product_slug; expiry_date,status","lot identity such as product_slug+lot_number if business requires","product_slug has no catalog FK; supplier linkage is text","yes","server-only","Created before blanket hardening and included in it","P1","Verify lot uniqueness, product index, non-negative quantity, and supplier normalization"
"inventory_movements","inventory/audit","inventory helper insert; admin movement history read","yes","id; product_slug; change; previous_stock_on_hand; new_stock_on_hand; reason; note; related_order_id; created_by; created_at","product_slug,created_at desc; related_order_id","idempotency/event reference recommended for automated movements","related_order_id -> orders(id) expected; product_slug logical catalog FK","yes","server-only","Created in migrations and dynamically hardened","P1","Verify related_order_id type/FK drift and movement reason constraint"
"inventory_reservations","inventory","used by inventory SECURITY DEFINER RPCs and tests","yes","id; order_id; session_id; product_slug; quantity; status; expires_at; released_at; converted_at; release_reason; created_by; metadata; created_at","order_id,status; normalized product_slug,status; status,expires_at","prevent duplicate active reservation per order+slug where required","order_id -> orders(id); product_slug logical inventory FK","yes","server-only; RPC-only writes","Clear migration history but repeated definitions/signatures exist","P0","Verify final columns, constraints, FKs, active duplicates, expiry index, and RPC grants"
"invoice_records","orders/invoices","account/admin/get-orders/tracking/finalization code: read/write","yes","id; user_id; order_id; order_number; invoice_type; invoice_status; invoice_number; provider; provider_reference/provider_invoice_id; pdf_url/file_url; issued_at; error_message; metadata/provider payloads; created_at; updated_at","order_id,created_at; user_id,created_at; status,created_at","unique nonblank invoice_number","order_id -> orders(id); user_id -> auth.users(id)","yes","own select; server-only writes","Created/evolved in migrations; field aliases have drift risk","P1","Verify live columns match all selectors (pdf_url vs file_url; invoice_status vs status) and FKs"
"legal_document_versions","legal/consent","checkout supporting object","yes","id; document_key; title; version; url; content_hash; effective_at; is_active; metadata; created_at","document_key,is_active,effective_at","unique(document_key,version)","none","yes","public active read only; server-only writes","Created/RLS policy in 20260626","P1","Verify grants and active-version uniqueness strategy"
"loyalty_point_rules","membership/loyalty","supporting configuration object","yes","id; code; name; event_type; points; rate_per_try; max_per_user; starts_at; ends_at; is_active; metadata; created_at; updated_at","code; active/window","unique(code)","none","yes","server-only","Created after blanket hardening; no RLS/grant block found","P1","Verify exposure; harden and validate rule ranges"
"loyalty_points_ledger","membership/loyalty","loyalty helpers/account/admin/birthday code: read and controlled writes","yes","id; user_id; email; event_type; points_delta; balance_after; order_id; review_id; routine_result_id; coupon_id; expires_at; reversal_of; source; status; transaction_reference; available_at; points_basis_amount; reason; metadata; created_at; updated_at","user_id,status,created_at desc; order_id,event_type,status; reversal_of","unique non-null transaction_reference","user_id -> auth.users(id); reversal_of self; order/routine/review/coupon FKs expected","yes","own select; service-role/RPC writes","Strong migration provenance; some FKs added conditionally or absent","P0","Verify all FKs, non-negative/allowed status checks, idempotency, RLS, and RPC-only writes"
"loyalty_redemptions","membership/loyalty","functions/api/loyalty/redeem.js: insert","yes","id; user_id; email; points_spent; benefit_type; coupon_id; order_id; status; metadata; created_at; updated_at","user_id,created_at; coupon_id; order_id","idempotency key per redemption request","user_id -> auth.users(id); coupon_id/order_id FKs","yes","own select; server-only insert/update","Created/RLS policy in 20260626","P1","Verify non-negative points, retry idempotency, FKs, and status constraint"
"membership_levels","membership/loyalty","functions/api/account/membership.js: read; recalc RPC reads","yes","code; name; spend_threshold_12m; order_threshold_12m; benefits_json; sort_order; is_active; created_at; updated_at","sort_order,is_active","PK(code)","none","yes","authenticated/anon read only only if needed; server-only write","Created/seeded in 20260626; no RLS/grant block found","P1","Verify only essential/signature/elite active; RLS/grants; non-negative thresholds"
"newsletter_subscribers","CRM/newsletter","newsletter/subscribe.js: read/insert/update","yes","id; email; source; status; confirmed_at; welcome_sent_at; last_email_sent_at; marketing_email_opt_in; consent_source; created_at; updated_at","status,created_at desc","unique lower(trim(email))","none","yes","server-only; no anon/auth policies","Dedicated migration with RLS; no client policy","P1","Verify grants revoked, normalized unique index, unsubscribe timestamps/token strategy"
"notification_preferences","account/preferences","account/notifications.js and summary.js: read/upsert","yes","id; user_id; email; order_updates; cargo_updates; campaign_emails; sms_notifications; stock_notifications; routine_reminders; newsletter; created_at; updated_at","user_id","unique(user_id)","user_id -> auth.users(id) on delete cascade","yes","own select/insert/update; no delete required","Clear migration in 20260703 plus compatibility alters","P0","Verify table applied, own policies, explicit Data API grants if direct client is intended, and profile/source synchronization"
"notifications","account","account/notifications.js and summary.js: read/update","out-of-band","id; user_id; type; title; body; action_url; is_read; read_at; metadata; created_at","user_id,created_at desc; user_id,is_read","none beyond PK","user_id -> auth.users(id) on delete cascade","yes","own select/update; server-only insert","Defined only in root schema/commerce-schema, not migrations","P0","Promote exact live definition/RLS to canonical migration and verify grants"
"order_items","orders/snapshots","checkout insert; account/admin/refund/returns/reviews/CRM read","yes","id; order_id; product_id; product_slug; product_name; brand; sku; image; unit_price; quantity; line_total; allocated_order_discount; paid_line_total; paid_unit_price; pricing_snapshot_version; metadata; created_at","order_id; product_slug; created_at as needed","line identity optional; no duplicate line contract defined","order_id -> orders(id) on delete cascade expected","yes","server-only writes; own read through orders if direct API exposed","Created in final migrations; D3A adds snapshot columns; FK/constraint provenance unclear","P0","Verify FK, non-negative money/quantity and snapshot consistency checks; verify complete snapshot rate"
"order_legal_consents","legal/consent","create-checkout.js: insert","yes","id; order_id; user_id; email; consent_type; accepted; document fields/hash/url; accepted_at; ip_address; user_agent; source; metadata; created_at","order_id; user_id; lower(email)","event idempotency per order+consent_type+document_version recommended","order_id -> orders(id); user_id -> auth.users(id)","yes","own select; server-only insert","Created/RLS in 20260626; FKs not declared in create block","P0","Verify FKs, duplicates, immutable audit behavior, RLS/revokes"
"order_legal_snapshots","legal/consent","create-checkout.js: insert","yes","id; order_id; user_id; email; document_key/title/version/hash/url; accepted_at; ip_address; user_agent; source; metadata; created_at","order_id; user_id","unique order+document snapshot recommended","order_id -> orders(id); user_id -> auth.users(id)","yes","own select; server-only insert","Created/RLS in 20260626; FKs not declared in create block","P0","Verify FKs, duplicate prevention, immutability and retention"
"order_status_events","orders/audit","many checkout/admin/account/return paths: insert/read","yes","id; order_id; status; event_type; previous_status; new_status; source; created_by; message; note; metadata; created_at","order_id,created_at; event_type,created_at","event idempotency reference recommended for provider events","order_id -> orders(id) on delete cascade","yes","server-only writes; own read through order","Created in migrations and dynamically hardened; later status constraint drift possible","P1","Verify final allowed statuses include all code events, FK/index, and immutability"
"orders","orders","core checkout/payment/account/admin/CRM/refund/shipping code: read/write","yes","id; checkout_idempotency_key; user_id; order_number; status; payment_status; fulfillment_status; payment_method; currency; monetary totals; customer/billing/shipping fields; coupon_code; legal_consents; paid/fulfilled/delivered/cancelled timestamps; metadata; created_at; updated_at","user_id,created_at desc; lower(customer_email),order_number; status/payment/fulfillment,created_at; checkout key","unique non-null checkout_idempotency_key; unique order_number expected","user_id -> auth.users(id)","yes","server-only writes; own select only if direct client path enabled","Migration chain starts by altering orders before any migration creates it; later migration creates a compatibility table","P0","Establish canonical baseline, verify full columns/FKs/checks/indexes/RLS/revokes and negative-total prevention"
"payment_bank_accounts","payments","bank-account/admin/checkout tests: read/write","yes","id; bank_name; account_holder; iban; branch; currency; is_active; sort_order; created_at; updated_at","is_active,sort_order","unique normalized IBAN","none","yes","public safe projection through server; server-only writes","Created/evolved in migrations; dynamically hardened","P0","Verify normalized IBAN uniqueness/check, no direct public table grants, and active ordering"
"payment_events","payments/audit","commerce finalization/admin dashboard: read/write","yes","id; order_id; provider; provider_payment_id; event_type; status; raw_reference; processed_at; metadata; created_at","order_id,provider,created_at; provider,raw_reference,status","unique provider+payment_id+event_type when processed","order_id -> orders(id)","yes","server-only","Created in migration and dynamically hardened","P0","Verify FK, idempotency unique index, event retention and immutable writes"
"payments","payments","checkout/callback/finalization/admin/refund: read/write","yes","id; order_id; provider; status; amount; currency; provider_payment_id; provider_token; conversation_id; raw_initialize_response; raw_callback_response; created_at; updated_at","order_id; provider_payment_id; provider_token; conversation_id; status,created_at","provider payment id/conversation id idempotency as applicable","order_id -> orders(id) on delete cascade expected","yes","server-only; own read only if deliberately exposed","Created/evolved in migrations; FK and unique provenance unclear","P0","Verify FK, amount >= 0, idempotency uniques, sensitive raw payload access, RLS/revokes"
"product_compliance","product/compliance","admin compliance write; public compliance read through server","yes","id; product_slug; barcode; UTS/import/origin/INCI/usage/warnings/PAO/admin_note; timestamps","product_slug","unique(product_slug)","logical catalog slug","yes","server-only table; public safe projection through API","Created in 20260511 and dynamically hardened","P1","Verify no unreviewed fields are directly exposed; indexes and RLS/revokes"
"product_inventory","inventory","inventory/admin/checkout/public inventory service: read/write","yes","id; product_slug; sku; stock_on_hand; stock_reserved; low_stock_threshold; status; allow_backorder; metadata; created_at; updated_at","normalized product_slug unique; status/stock; updated_at","unique lower(trim(product_slug))","logical catalog slug","yes","server-only table; no direct client writes","Created/evolved in many migrations; dynamically hardened","P0","Verify one row/slug, non-negative checks, reserved<=stock policy decision, status check, and indexes; available_stock is computed in JS"
"product_price_audit_logs","pricing","product-pricing helper insert; admin history read","yes","id; product_slug; old/new regular; old/new sale; old/new compare-at; old/new sale windows; old/new currency; changed_by_admin; changed_at; reason; source; request_id","product_slug,changed_at desc; request_id","idempotent request_id recommended","logical product slug","yes","server-only; no user policies","P1C/P1E migrations; RLS enabled, no policies","P1","Verify RLS/grants, complete old/new fields, immutable writes, request idempotency"
"product_price_overrides","pricing","product-pricing helper read/upsert; storefront/admin tests","yes","id; product_slug; regular_price_try; sale_price_try; compare_at_price_try; sale_starts_at; sale_ends_at; currency; is_active; source; reason; created_by; updated_by; timestamps","product_slug; active sale window optional","unique(product_slug)","logical product slug","yes","server-only; no user policies","Clear P1C/P1E migrations","P0","Verify columns/constraints, unique slug, active-window lookup index if needed, RLS/revokes, and invalid sale rows"
"products","catalog legacy","tests/local-integration.test.mjs test-only REST mock; root schema table","out-of-band","not canonical for DB1 runtime; products.json is catalog source of truth","slug","unique slug","none","yes if retained","read-only safe projection","Only root schema/test reference; production catalog source is static files","P2","Confirm DB products table is non-authoritative or retire/document it"
"profiles","account/profile","account/auth/cron APIs: read/upsert","yes","id; email; first_name; last_name; full_name; phone; birthday; birthday_change_count; birthday_last_changed_at; birth_date_locked; account_status; marketing_email_opt_in; newsletter_opt_in; stock_alert_opt_in; routine_reminder_opt_in; fraud_flags; metadata; created_at; updated_at","normalized email; account_status","PK(id); unique normalized email expected","id -> auth.users(id) on delete cascade","yes","own select; own update only if protected columns cannot be bypassed; server-only insert","Created/evolved across migrations with own select/update policies","P0","Verify all UX4 columns; direct-update bypass of birthday/consent lock; explicit grants; missing personalization field decision"
"refund_records","refunds","admin refunds/orders: read/insert","yes","id; order_id; return_request_id; amount; currency; status; provider; provider_reference; error_message; metadata; created_at; updated_at; completed_at","order_id,created_at; return_request_id,created_at; status,created_at","completed provider reference/idempotency uniqueness recommended","order_id -> orders(id); return_request_id -> return_requests(id)","yes","server-only","Created/dynamically hardened in migrations; item breakdown stored in metadata not refund_items","P0","Verify amount checks/FKs/idempotency, immutable completed records, snapshot metadata, and RLS/revokes"
"restock_alerts","inventory/CRM","public restock API insert; inventory/admin read/update","yes","id; product_slug; email; user_id; status; created_at; notified_at; last_attempt_at; last_error","status,product_slug,created_at","unique waiting product_slug+normalized email","user_id -> auth.users(id)","yes","server-only; public endpoint mediates insert","Created and dynamically hardened","P1","Verify email normalization uniqueness, status check, retention and RLS/revokes"
"return_request_attachments","returns/storage","returns/account/admin and validators: read/insert","yes","id; return_request_id; storage_bucket; storage_path; original_name; mime_type; file_size_bytes; created_at","return_request_id,created_at; storage_path","unique bucket+path recommended","return_request_id -> return_requests(id) on delete cascade","yes","own rows through return request; admin service access","Created 20260702 after blanket RLS migration; no table RLS/policy found","P0","Verify live RLS/grants/FK/index; align with return-attachments storage ownership policies"
"return_request_items","returns/refunds","returns/account/admin refund: read/insert","yes","id; return_request_id; order_item_id; product_id/slug; product_name_snapshot; sku_snapshot; quantity; reason; note; unit_price_snapshot (populated from paid unit price); refundable_amount; condition_status; created_at","return_request_id,created_at; order_item_id","prevent over-claim duplicates/quantities by business rule","return_request_id -> return_requests(id); order_item_id -> order_items(id)","yes","own rows through return request; admin service access","Created 20260702 after blanket hardening; no RLS/policy found","P0","Verify RLS/grants/FKs/checks; prove unit_price_snapshot/refundable_amount derive from order_items paid snapshots and enforce cumulative quantity integrity"
"return_requests","returns","returns/account/admin/cancellation: read/write","yes","id; order_id; user_id; customer_email; reason; status; customer_note; admin_note; refund_status; requested_items; requested_attachments; attachment_count; created_at; updated_at","order_id,status,created_at; user_id,created_at; lower(customer_email),created_at","one active request/order partial index (verify item-level semantics)","order_id -> orders(id); user_id -> auth.users(id)","yes","server-only or own select/insert through API","Created and dynamically hardened; later columns added","P0","Verify status enums, FKs, user index, RLS/revokes and active-request uniqueness semantics"
"return_status_events","returns/audit","returns/account/admin: read/insert","yes","id; return_request_id; old_status; new_status; event_type; actor_type; actor_id; note; metadata; created_at","return_request_id,created_at","event idempotency optional","return_request_id -> return_requests(id)","yes","own read through return; server-only insert","Created 20260702 after blanket hardening; no RLS/policy found","P0","Verify RLS/grants/FK/index and immutability"
"review_helpful","reviews","reviews API: read/insert/delete","out-of-band","id; review_id; user_id; created_at","review_id; user_id","unique(review_id,user_id)","review_id -> reviews(id); user_id -> auth.users(id)","yes","public aggregate/read only if needed; own insert/delete","Defined only in root reviews/schema SQL; blanket hardening is apply-order dependent","P0","Promote base table/RLS to migration; replace broad FOR ALL policy with explicit own insert/delete and verify grants"
"review_images","reviews/storage","reviews API: read/insert/update/delete; tests","partial","id; review_id; user_id; storage_path; public_url; status; sort_order; original_name; file_size_kb/size_bytes; mime_type; width; height; moderation_note; moderated_at; moderated_by; created_at; updated_at","review_id; status; storage_path; user_id","unique storage_path recommended; sort_order uniqueness per review optional","review_id -> reviews(id); user_id -> auth.users(id)","yes","approved public select; own insert/delete; admin moderation via server","Base only in root SQL; migration only adds updated_at/triggers; code contains legacy missing-column retry","P0","Create canonical migration from verified live schema; verify bucket review-images, RLS, storage policies, columns and moderation actor type"
"reviews","reviews","reviews API: public/own/admin read/write/delete","partial","id; product_slug; user_id; user_display_name; user_email; title; body; rating; helpful_count; approved; status; verified_purchase; order_id; moderation fields; is_edited; created_at; updated_at","product_slug,status,created_at; user_id; verified_purchase","unique(user_id,product_slug)","user_id -> auth.users(id); order_id -> orders(id)","yes","approved public select; own insert/update/delete as designed; admin through server","Base only in root SQL; migration only adds updated_at/status trigger","P0","Promote exact base schema/RLS; remove hard-coded auth.email admin policy; verify FK/checks and direct-delete policy"
"shipment_events","shipments","admin orders: read/insert","yes","id; shipment_id; order_id; event_type; status; note; occurred_at; provider_event_code; raw_payload; metadata","shipment_id,occurred_at; order_id,occurred_at","provider event idempotency key recommended","shipment_id -> shipments(id); order_id -> orders(id)","yes","server-only; own read via order if exposed","Created before blanket hardening and included in it","P1","Verify FK/index/idempotency and RLS/revokes"
"shipments","shipments","commerce/account/admin/tracking/DHL paths: read/write","partial","id; order_id; status; carrier/carrier_name; tracking_number; tracking_url; provider; provider_shipment_id; label fields; package dimensions; sender/recipient snapshots; provider payload/response; direction; error_message; shipped_at; delivered_at; created_at; updated_at","order_id,created_at desc; order_id,status,created_at; provider_shipment_id; tracking_number","provider_shipment_id uniqueness where non-null","order_id -> orders(id) on delete cascade","yes","server-only writes; own read through order","Migrations only ALTER shipments; base CREATE TABLE exists only in root schema/commerce-schema","P0","Add canonical base provenance after live verification; verify status values, FKs, uniqueness, RLS/revokes"
"shipping_events","shipments","functions/api/shipping/track.js: read","yes","id; shipment_id; order_id; status; location; message; event_at; provider_event_code; raw_payload; created_at","order_id,event_at desc; shipment_id,event_at desc","provider event idempotency key recommended","shipment_id -> shipments(id); order_id -> orders(id)","yes","server-only; safe customer projection through API","Created in 20260626 after blanket hardening; no RLS/policy found","P0","Verify live RLS/grants/FKs/index and provider event uniqueness"
"shipping_settings","shipments","supporting provider configuration object","yes","id; provider; is_active; package defaults; cutoff_time; sender_reference; service_code; label_format; metadata; created_at; updated_at","provider,is_active","one active row/provider recommended","none","yes","server-only","Created after blanket hardening; no RLS/grant block found","P1","Verify exposure and unique active-provider configuration"
"supplier_records","inventory/compliance","admin suppliers: read/write","yes","id; name; contact_email; contact_phone; website; notes; created_at; updated_at","name","normalized supplier name or external id if needed","none","yes","server-only","Created before blanket hardening and included in it","P1","Verify RLS/revokes and supplier identity uniqueness"
"support_requests","support","account/summary.js and account/support-requests.js: read/insert","no","id; user_id; customer_email; order_id; category; subject; message; status; assigned_to; resolution; created_at; updated_at","user_id,created_at desc; order_id; status,created_at","ticket/reference number unique if exposed","user_id -> auth.users(id); order_id -> orders(id)","yes","own select/insert; server/admin update","No CREATE/ALTER reference anywhere under supabase SQL","P0","Verify live existence immediately; design canonical table/RLS/index migration from actual production schema"
"user_addresses","account/addresses","account/addresses.js and summary.js: CRUD/read","yes","id; user_id; title; recipient names; phone; city; district; neighborhood; postal_code; address_line; address_type; is_default; metadata; created_at; updated_at","user_id; user_id,is_default,updated_at; normalized location optional","one default per user+address_type partial unique","user_id -> auth.users(id) on delete cascade","yes","own select/insert/update/delete","Clear migration provenance and explicit authenticated grant in final migrations","P0","Verify one-default constraint, ownership policies/TO roles, grants, and no cross-user default races"
"user_favorites","favorites/wishlist","account/favorites.js and summary.js: CRUD/read; E1 tests","out-of-band","id; user_id; product_id; product_slug; product_name; brand; image; price; metadata; created_at; updated_at","user_id; product_slug; user_id,created_at desc","unique(user_id,product_slug)","user_id -> auth.users(id) on delete cascade","yes","own select/insert/update/delete","Defined only in root schema/commerce-schema; no migration file","P0","Verify live table/columns/unique/RLS/policies/duplicates; then promote exact schema to migration"
"customer_addresses","account alias","requested audit name; runtime uses user_addresses","no","n/a; canonical candidate is user_addresses","n/a","n/a","n/a","n/a","n/a","No code or migration reference","P2","Document alias and avoid creating duplicate table unless business model changes"
"customer_profiles","account alias","requested audit name; runtime uses profiles plus customer_skin_profiles","no","n/a; canonical identity profile is profiles","n/a","n/a","n/a","n/a","n/a","No code or migration reference","P2","Document crosswalk and prevent a third profile source"
"newsletter_subscriptions","CRM alias","requested audit name; runtime uses newsletter_subscribers","no","n/a","n/a","n/a","n/a","n/a","n/a","No code or migration reference","P2","Keep newsletter_subscribers as canonical name and document it"
"refund_items","refunds alias/gap","requested audit object; runtime stores return items and refund item breakdown in refund_records.metadata","no","refund_id; order_item_id; quantity; paid snapshot; refunded amount; created_at if normalized later","refund_id; order_item_id","idempotent refund+line identity","refund_id -> refund_records; order_item_id -> order_items","yes","server-only","No table; item scope currently JSONB metadata plus return_request_items","P1","Decide whether normalized refund_items is required for audit/accounting before provider refunds"
